metric,split,value
target_coverage,all,0.9
quantile_model_alpha,all,0.9
conformal_correction,calibration,1.8491194090787337
conformal_quantile_level,calibration,0.9008838383838383
calibration_samples,calibration,1584.0
calibration_empirical_coverage_before_conformal,calibration,0.648989898989899
calibration_empirical_coverage_after_conformal,calibration,0.9008838383838383
id_empirical_coverage_before_conformal,test_id,0.6864035087719298
id_empirical_coverage_after_conformal,test_id,0.7225877192982456
ood_empirical_coverage_before_conformal,test_ood,0.6500912408759124
ood_empirical_coverage_after_conformal,test_ood,0.771441605839416
