episode_id,timestep,candidate_core,task_id,task_power,task_duration,split,workload_type
0,0,0,0,0.8417113090275878,13,train,id
0,0,1,0,0.8417113090275878,13,train,id
0,0,2,0,0.8417113090275878,13,train,id
0,0,3,0,0.8417113090275878,13,train,id
0,0,4,0,0.8417113090275878,13,train,id
0,0,5,0,0.8417113090275878,13,train,id
0,0,6,0,0.8417113090275878,13,train,id
0,0,7,0,0.8417113090275878,13,train,id
0,0,8,0,0.8417113090275878,13,train,id
0,0,9,0,0.8417113090275878,13,train,id
0,0,10,0,0.8417113090275878,13,train,id
0,0,11,0,0.8417113090275878,13,train,id
0,0,12,0,0.8417113090275878,13,train,id
0,0,13,0,0.8417113090275878,13,train,id
0,0,14,0,0.8417113090275878,13,train,id
0,0,15,0,0.8417113090275878,13,train,id
0,1,0,1,2.3205786234427266,38,train,id
0,1,1,1,2.3205786234427266,38,train,id
0,1,2,1,2.3205786234427266,38,train,id
0,1,3,1,2.3205786234427266,38,train,id
0,1,4,1,2.3205786234427266,38,train,id
0,1,5,1,2.3205786234427266,38,train,id
0,1,6,1,2.3205786234427266,38,train,id
0,1,7,1,2.3205786234427266,38,train,id
0,1,8,1,2.3205786234427266,38,train,id
0,1,9,1,2.3205786234427266,38,train,id
0,1,10,1,2.3205786234427266,38,train,id
0,1,11,1,2.3205786234427266,38,train,id
0,1,12,1,2.3205786234427266,38,train,id
0,1,13,1,2.3205786234427266,38,train,id
0,1,14,1,2.3205786234427266,38,train,id
0,1,15,1,2.3205786234427266,38,train,id
0,2,0,2,1.7703408702202656,48,train,id
0,2,1,2,1.7703408702202656,48,train,id
0,2,2,2,1.7703408702202656,48,train,id
0,2,3,2,1.7703408702202656,48,train,id
0,2,4,2,1.7703408702202656,48,train,id
0,2,5,2,1.7703408702202656,48,train,id
0,2,6,2,1.7703408702202656,48,train,id
0,2,7,2,1.7703408702202656,48,train,id
0,2,8,2,1.7703408702202656,48,train,id
0,2,9,2,1.7703408702202656,48,train,id
0,2,10,2,1.7703408702202656,48,train,id
0,2,11,2,1.7703408702202656,48,train,id
0,2,12,2,1.7703408702202656,48,train,id
0,2,13,2,1.7703408702202656,48,train,id
0,2,14,2,1.7703408702202656,48,train,id
0,2,15,2,1.7703408702202656,48,train,id
0,3,0,3,3.1016308572837517,78,train,id
0,3,1,3,3.1016308572837517,78,train,id
0,3,2,3,3.1016308572837517,78,train,id
0,3,3,3,3.1016308572837517,78,train,id
0,3,4,3,3.1016308572837517,78,train,id
0,3,5,3,3.1016308572837517,78,train,id
0,3,6,3,3.1016308572837517,78,train,id
0,3,7,3,3.1016308572837517,78,train,id
0,3,8,3,3.1016308572837517,78,train,id
0,3,9,3,3.1016308572837517,78,train,id
0,3,10,3,3.1016308572837517,78,train,id
0,3,11,3,3.1016308572837517,78,train,id
0,3,12,3,3.1016308572837517,78,train,id
0,3,13,3,3.1016308572837517,78,train,id
0,3,14,3,3.1016308572837517,78,train,id
0,3,15,3,3.1016308572837517,78,train,id
0,3,0,4,0.8889736262620515,25,train,id
0,3,1,4,0.8889736262620515,25,train,id
0,3,2,4,0.8889736262620515,25,train,id
0,3,3,4,0.8889736262620515,25,train,id
0,3,4,4,0.8889736262620515,25,train,id
0,3,5,4,0.8889736262620515,25,train,id
0,3,6,4,0.8889736262620515,25,train,id
0,3,7,4,0.8889736262620515,25,train,id
0,3,8,4,0.8889736262620515,25,train,id
0,3,9,4,0.8889736262620515,25,train,id
0,3,10,4,0.8889736262620515,25,train,id
0,3,11,4,0.8889736262620515,25,train,id
0,3,12,4,0.8889736262620515,25,train,id
0,3,13,4,0.8889736262620515,25,train,id
0,3,14,4,0.8889736262620515,25,train,id
0,3,15,4,0.8889736262620515,25,train,id
0,4,0,5,2.7144344449584006,58,train,id
0,4,1,5,2.7144344449584006,58,train,id
0,4,2,5,2.7144344449584006,58,train,id
0,4,3,5,2.7144344449584006,58,train,id
0,4,4,5,2.7144344449584006,58,train,id
0,4,5,5,2.7144344449584006,58,train,id
0,4,6,5,2.7144344449584006,58,train,id
0,4,7,5,2.7144344449584006,58,train,id
0,4,8,5,2.7144344449584006,58,train,id
0,4,9,5,2.7144344449584006,58,train,id
0,4,10,5,2.7144344449584006,58,train,id
0,4,11,5,2.7144344449584006,58,train,id
0,4,12,5,2.7144344449584006,58,train,id
0,4,13,5,2.7144344449584006,58,train,id
0,4,14,5,2.7144344449584006,58,train,id
0,4,15,5,2.7144344449584006,58,train,id
0,6,0,6,2.5587534991102054,96,train,id
0,6,1,6,2.5587534991102054,96,train,id
0,6,2,6,2.5587534991102054,96,train,id
0,6,3,6,2.5587534991102054,96,train,id
0,6,4,6,2.5587534991102054,96,train,id
0,6,5,6,2.5587534991102054,96,train,id
0,6,6,6,2.5587534991102054,96,train,id
0,6,7,6,2.5587534991102054,96,train,id
0,6,8,6,2.5587534991102054,96,train,id
0,6,9,6,2.5587534991102054,96,train,id
0,6,10,6,2.5587534991102054,96,train,id
0,6,11,6,2.5587534991102054,96,train,id
0,6,12,6,2.5587534991102054,96,train,id
0,6,13,6,2.5587534991102054,96,train,id
0,6,14,6,2.5587534991102054,96,train,id
0,6,15,6,2.5587534991102054,96,train,id
0,8,0,7,1.7777609695099088,61,train,id
0,8,1,7,1.7777609695099088,61,train,id
0,8,2,7,1.7777609695099088,61,train,id
0,8,3,7,1.7777609695099088,61,train,id
0,8,4,7,1.7777609695099088,61,train,id
0,8,5,7,1.7777609695099088,61,train,id
0,8,6,7,1.7777609695099088,61,train,id
0,8,7,7,1.7777609695099088,61,train,id
0,8,8,7,1.7777609695099088,61,train,id
0,8,9,7,1.7777609695099088,61,train,id
0,8,10,7,1.7777609695099088,61,train,id
0,8,11,7,1.7777609695099088,61,train,id
0,8,12,7,1.7777609695099088,61,train,id
0,8,13,7,1.7777609695099088,61,train,id
0,8,14,7,1.7777609695099088,61,train,id
0,8,15,7,1.7777609695099088,61,train,id
0,8,0,8,2.711193141175293,116,train,id
0,8,1,8,2.711193141175293,116,train,id
0,8,2,8,2.711193141175293,116,train,id
0,8,3,8,2.711193141175293,116,train,id
0,8,4,8,2.711193141175293,116,train,id
0,8,5,8,2.711193141175293,116,train,id
0,8,6,8,2.711193141175293,116,train,id
0,8,7,8,2.711193141175293,116,train,id
0,8,8,8,2.711193141175293,116,train,id
0,8,9,8,2.711193141175293,116,train,id
0,8,10,8,2.711193141175293,116,train,id
0,8,11,8,2.711193141175293,116,train,id
0,8,12,8,2.711193141175293,116,train,id
0,8,13,8,2.711193141175293,116,train,id
0,8,14,8,2.711193141175293,116,train,id
0,8,15,8,2.711193141175293,116,train,id
0,8,0,9,1.0986753764783312,16,train,id
0,8,1,9,1.0986753764783312,16,train,id
0,8,2,9,1.0986753764783312,16,train,id
0,8,3,9,1.0986753764783312,16,train,id
0,8,4,9,1.0986753764783312,16,train,id
0,8,5,9,1.0986753764783312,16,train,id
0,8,6,9,1.0986753764783312,16,train,id
0,8,7,9,1.0986753764783312,16,train,id
0,8,8,9,1.0986753764783312,16,train,id
0,8,9,9,1.0986753764783312,16,train,id
0,8,10,9,1.0986753764783312,16,train,id
0,8,11,9,1.0986753764783312,16,train,id
0,8,12,9,1.0986753764783312,16,train,id
0,8,13,9,1.0986753764783312,16,train,id
0,8,14,9,1.0986753764783312,16,train,id
0,8,15,9,1.0986753764783312,16,train,id
0,9,0,10,2.489687688039421,50,train,id
0,9,1,10,2.489687688039421,50,train,id
0,9,2,10,2.489687688039421,50,train,id
0,9,3,10,2.489687688039421,50,train,id
0,9,4,10,2.489687688039421,50,train,id
0,9,5,10,2.489687688039421,50,train,id
0,9,6,10,2.489687688039421,50,train,id
0,9,7,10,2.489687688039421,50,train,id
0,9,8,10,2.489687688039421,50,train,id
0,9,9,10,2.489687688039421,50,train,id
0,9,10,10,2.489687688039421,50,train,id
0,9,11,10,2.489687688039421,50,train,id
0,9,12,10,2.489687688039421,50,train,id
0,9,13,10,2.489687688039421,50,train,id
0,9,14,10,2.489687688039421,50,train,id
0,9,15,10,2.489687688039421,50,train,id
0,11,0,11,1.631364186029518,43,train,id
0,11,1,11,1.631364186029518,43,train,id
0,11,2,11,1.631364186029518,43,train,id
0,11,3,11,1.631364186029518,43,train,id
0,11,4,11,1.631364186029518,43,train,id
0,11,5,11,1.631364186029518,43,train,id
0,11,6,11,1.631364186029518,43,train,id
0,11,7,11,1.631364186029518,43,train,id
0,11,8,11,1.631364186029518,43,train,id
0,11,9,11,1.631364186029518,43,train,id
0,11,10,11,1.631364186029518,43,train,id
0,11,11,11,1.631364186029518,43,train,id
0,11,12,11,1.631364186029518,43,train,id
0,11,13,11,1.631364186029518,43,train,id
0,11,14,11,1.631364186029518,43,train,id
0,11,15,11,1.631364186029518,43,train,id
0,12,0,12,1.8150609253070729,65,train,id
0,12,1,12,1.8150609253070729,65,train,id
0,12,2,12,1.8150609253070729,65,train,id
0,12,3,12,1.8150609253070729,65,train,id
0,12,4,12,1.8150609253070729,65,train,id
0,12,5,12,1.8150609253070729,65,train,id
0,12,6,12,1.8150609253070729,65,train,id
0,12,7,12,1.8150609253070729,65,train,id
0,12,8,12,1.8150609253070729,65,train,id
0,12,9,12,1.8150609253070729,65,train,id
0,12,10,12,1.8150609253070729,65,train,id
0,12,11,12,1.8150609253070729,65,train,id
0,12,12,12,1.8150609253070729,65,train,id
0,12,13,12,1.8150609253070729,65,train,id
0,12,14,12,1.8150609253070729,65,train,id
0,12,15,12,1.8150609253070729,65,train,id
0,12,0,13,3.4738230244722996,112,train,id
0,12,1,13,3.4738230244722996,112,train,id
0,12,2,13,3.4738230244722996,112,train,id
0,12,3,13,3.4738230244722996,112,train,id
0,12,4,13,3.4738230244722996,112,train,id
0,12,5,13,3.4738230244722996,112,train,id
0,12,6,13,3.4738230244722996,112,train,id
0,12,7,13,3.4738230244722996,112,train,id
0,12,8,13,3.4738230244722996,112,train,id
0,12,9,13,3.4738230244722996,112,train,id
0,12,10,13,3.4738230244722996,112,train,id
0,12,11,13,3.4738230244722996,112,train,id
0,12,12,13,3.4738230244722996,112,train,id
0,12,13,13,3.4738230244722996,112,train,id
0,12,14,13,3.4738230244722996,112,train,id
0,12,15,13,3.4738230244722996,112,train,id
0,13,0,14,0.9586538304724995,13,train,id
0,13,1,14,0.9586538304724995,13,train,id
0,13,2,14,0.9586538304724995,13,train,id
0,13,3,14,0.9586538304724995,13,train,id
0,13,4,14,0.9586538304724995,13,train,id
0,13,5,14,0.9586538304724995,13,train,id
0,13,6,14,0.9586538304724995,13,train,id
0,13,7,14,0.9586538304724995,13,train,id
0,13,8,14,0.9586538304724995,13,train,id
0,13,9,14,0.9586538304724995,13,train,id
0,13,10,14,0.9586538304724995,13,train,id
0,13,11,14,0.9586538304724995,13,train,id
0,13,12,14,0.9586538304724995,13,train,id
0,13,13,14,0.9586538304724995,13,train,id
0,13,14,14,0.9586538304724995,13,train,id
0,13,15,14,0.9586538304724995,13,train,id
0,13,0,15,3.3213713815750854,98,train,id
0,13,1,15,3.3213713815750854,98,train,id
0,13,2,15,3.3213713815750854,98,train,id
0,13,3,15,3.3213713815750854,98,train,id
0,13,4,15,3.3213713815750854,98,train,id
0,13,5,15,3.3213713815750854,98,train,id
0,13,6,15,3.3213713815750854,98,train,id
0,13,7,15,3.3213713815750854,98,train,id
0,13,8,15,3.3213713815750854,98,train,id
0,13,9,15,3.3213713815750854,98,train,id
0,13,10,15,3.3213713815750854,98,train,id
0,13,11,15,3.3213713815750854,98,train,id
0,13,12,15,3.3213713815750854,98,train,id
0,13,13,15,3.3213713815750854,98,train,id
0,13,14,15,3.3213713815750854,98,train,id
0,13,15,15,3.3213713815750854,98,train,id
0,14,0,16,1.3306336878722895,53,train,id
0,14,1,16,1.3306336878722895,53,train,id
0,14,2,16,1.3306336878722895,53,train,id
0,14,3,16,1.3306336878722895,53,train,id
0,14,4,16,1.3306336878722895,53,train,id
0,14,5,16,1.3306336878722895,53,train,id
0,14,6,16,1.3306336878722895,53,train,id
0,14,7,16,1.3306336878722895,53,train,id
0,14,8,16,1.3306336878722895,53,train,id
0,14,9,16,1.3306336878722895,53,train,id
0,14,10,16,1.3306336878722895,53,train,id
0,14,11,16,1.3306336878722895,53,train,id
0,14,12,16,1.3306336878722895,53,train,id
0,14,13,16,1.3306336878722895,53,train,id
0,14,14,16,1.3306336878722895,53,train,id
0,14,15,16,1.3306336878722895,53,train,id
0,14,0,17,1.828420061452313,60,train,id
0,14,1,17,1.828420061452313,60,train,id
0,14,2,17,1.828420061452313,60,train,id
0,14,3,17,1.828420061452313,60,train,id
0,14,4,17,1.828420061452313,60,train,id
0,14,5,17,1.828420061452313,60,train,id
0,14,6,17,1.828420061452313,60,train,id
